N=2000
num_experiments=1000
==================================================
级联失效结束阶段概率 P(n):
==================================================
P(n=6): 0.0080  (8/1000 次)
P(n=7): 0.0480  (48/1000 次)
P(n=8): 0.0760  (76/1000 次)
P(n=9): 0.0880  (88/1000 次)
P(n=10): 0.1050  (105/1000 次)
P(n=11): 0.0810  (81/1000 次)
P(n=12): 0.0880  (88/1000 次)
P(n=13): 0.0680  (68/1000 次)
P(n=14): 0.0710  (71/1000 次)
P(n=15): 0.0550  (55/1000 次)
P(n=16): 0.0530  (53/1000 次)
P(n=17): 0.0430  (43/1000 次)
P(n=18): 0.0340  (34/1000 次)
P(n=19): 0.0290  (29/1000 次)
P(n=20): 0.0290  (29/1000 次)
P(n=21): 0.0260  (26/1000 次)
P(n=22): 0.0220  (22/1000 次)
P(n=23): 0.0110  (11/1000 次)
P(n=24): 0.0120  (12/1000 次)
P(n=25): 0.0120  (12/1000 次)
P(n=26): 0.0110  (11/1000 次)
P(n=27): 0.0040  (4/1000 次)
P(n=28): 0.0050  (5/1000 次)
P(n=29): 0.0040  (4/1000 次)
P(n=30): 0.0050  (5/1000 次)
P(n=31): 0.0020  (2/1000 次)
P(n=32): 0.0010  (1/1000 次)
P(n=34): 0.0020  (2/1000 次)
P(n=35): 0.0020  (2/1000 次)
P(n=36): 0.0010  (1/1000 次)
P(n=37): 0.0020  (2/1000 次)
P(n=38): 0.0010  (1/1000 次)
P(n=39): 0.0010  (1/1000 次)
